"feature","enrich_group","ef_lda","pvalue","padj","short_feature"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales-Selenomonadales|f__Selenomonadaceae|g__Centipeda","Saliva",0.00236368308511619,2.59991630232175e-05,2.59991630232175e-05,"k__Bacteria|p__Firmicutes|c__Negativicut"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_UCG-014|f__Clostridia_UCG-014|g__Clostridia_UCG-014|s__Clostridia_UCG-014_Clostridiales_bacterium","Saliva",0.00231631781213299,1.56613258974009e-34,1.56613258974009e-34,"k__Bacteria|p__Firmicutes|c__Clostridia|"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales-Selenomonadales|f__Selenomonadaceae|g__Centipeda|s__Centipeda_uncultured","Saliva",0.00225118487700067,0.000178771255875526,0.000178771255875526,"k__Bacteria|p__Firmicutes|c__Negativicut"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_unclassifiedtigena","Saliva",0.00204269039549886,1.807714840257e-30,1.807714840257e-30,"k__Bacteria|p__Bacteroidota|c__Bacteroid"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_jejuni","Saliva",0.00169195419990142,3.1347087183704e-26,3.1347087183704e-26,"k__Bacteria|p__Bacteroidota|c__Bacteroid"
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Staphylococcales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_unclassified","Saliva",0.00167701913696133,0.00534343149129469,0.00534343149129469,"k__Bacteria|p__Firmicutes|c__Bacilli|o__"
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Staphylococcales|f__Staphylococcaceae","Saliva",0.00163345864300128,0.00282017112391116,0.00282017112391116,"k__Bacteria|p__Firmicutes|c__Bacilli|o__"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Weeksellaceae","Saliva",0.00158880860841075,4.54405405119554e-37,4.54405405119554e-37,"k__Bacteria|p__Bacteroidota|c__Bacteroid"
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Staphylococcales|f__Staphylococcaceae|g__Staphylococcus","Saliva",0.00155276796841747,0.00282017112391116,0.00282017112391116,"k__Bacteria|p__Firmicutes|c__Bacilli|o__"
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis","Saliva",0.00154668930063064,6.51374216150174e-27,6.51374216150174e-27,"k__Bacteria|p__Firmicutes|c__Bacilli|o__"
